id,organismo,linea_servicio,dia,fecha,afluencia_tarjeta,afluencia_boleto,afluencia_total_preliminar
1,Ecobici,,domingo,2020-03-01,,,
2,Ecobici,,lunes,2020-03-02,,,
3,Ecobici,,martes,2020-03-03,,,
4,Ecobici,,miércoles,2020-03-04,,,
5,Ecobici,,jueves,2020-03-05,,,
6,Ecobici,,viernes,2020-03-06,,,
7,Ecobici,,sábado,2020-03-07,,,
8,Ecobici,,domingo,2020-03-08,,,
9,Ecobici,,lunes,2020-03-09,,,
10,Ecobici,,martes,2020-03-10,,,
11,Ecobici,,miércoles,2020-03-11,,,
12,Ecobici,,jueves,2020-03-12,,,
13,Ecobici,,viernes,2020-03-13,,,
14,Ecobici,,sábado,2020-03-14,,,
15,Ecobici,,domingo,2020-03-15,,,
16,Ecobici,,lunes,2020-03-16,,,
17,Ecobici,,martes,2020-03-17,,,
18,Ecobici,,miércoles,2020-03-18,,,
19,Ecobici,,jueves,2020-03-19,,,
20,Ecobici,,viernes,2020-03-20,,,
21,Ecobici,,sábado,2020-03-21,,,
22,Ecobici,,domingo,2020-03-22,,,
23,Ecobici,,lunes,2020-03-23,,,
24,Ecobici,,martes,2020-03-24,,,
25,Ecobici,,miércoles,2020-03-25,,,
26,Ecobici,,jueves,2020-03-26,,,
27,Ecobici,,viernes,2020-03-27,,,
28,Ecobici,,sábado,2020-03-28,,,
29,Ecobici,,domingo,2020-03-29,,,
30,Ecobici,,lunes,2020-03-30,,,
31,Ecobici,,martes,2020-03-31,,,
32,Ecobici,,miércoles,2020-04-01,,,
33,Ecobici,,jueves,2020-04-02,,,
34,Ecobici,,viernes,2020-04-03,,,
35,Ecobici,,sábado,2020-04-04,,,
36,Ecobici,,domingo,2020-04-05,,,
37,Ecobici,,lunes,2020-04-06,,,
38,Ecobici,,martes,2020-04-07,,,
39,Ecobici,,miércoles,2020-04-08,,,
40,Ecobici,,jueves,2020-04-09,,,
41,Ecobici,,viernes,2020-04-10,,,
42,Ecobici,,sábado,2020-04-11,,,
43,Ecobici,,domingo,2020-04-12,,,
44,Ecobici,,lunes,2020-04-13,,,
45,Ecobici,,martes,2020-04-14,,,
46,Ecobici,,miércoles,2020-04-15,,,
47,Ecobici,,jueves,2020-04-16,,,
48,Ecobici,,viernes,2020-04-17,,,
49,Ecobici,,sábado,2020-04-18,,,
50,Ecobici,,domingo,2020-04-19,,,
