fecha,sistema,diferencia
2020-03-01,Metro,-0.8879357779
2020-03-01,Metrobús,-2.292636211
2020-03-01,Tren ligero,0.0789827202
2020-03-01,Trolebús,-10.69928677
2020-03-01,RTP,-22.4425703
2020-03-01,Ecobici,-4.914470301
2020-03-01,Mexibús,16.60415525
2020-03-01,Mexicable,4.570149254
2020-03-01,Tren suburbano,8.968559692
2020-03-02,Metro,7.108800715
2020-03-02,Metrobús,6.103176376
2020-03-02,Tren ligero,7.201711845
2020-03-02,Trolebús,12.35802258
2020-03-02,RTP,13.94359181
2020-03-02,Ecobici,4.7488383
2020-03-02,Mexibús,0.0
2020-03-02,Mexicable,0.0
2020-03-02,Tren suburbano,0.0
2020-03-03,Metro,3.968162899
2020-03-03,Metrobús,5.006655683
2020-03-03,Tren ligero,1.108748127
2020-03-03,Trolebús,5.854732718
2020-03-03,RTP,11.92131353
2020-03-03,Ecobici,6.495303704
2020-03-03,Mexibús,-0.81614691
2020-03-03,Mexicable,-0.219112242
2020-03-03,Tren suburbano,-0.5847366308
2020-03-04,Metro,2.403728065
2020-03-04,Metrobús,2.419304117
2020-03-04,Tren ligero,2.259736313
2020-03-04,Trolebús,5.118204645
2020-03-04,RTP,7.313801358
2020-03-04,Ecobici,3.716477888
2020-03-04,Mexibús,1.275630628
2020-03-04,Mexicable,1.733108472
2020-03-04,Tren suburbano,-0.2414080906
2020-03-05,Metro,2.262604712
2020-03-05,Metrobús,2.379756842
2020-03-05,Tren ligero,3.569041875
2020-03-05,Trolebús,6.644181736
2020-03-05,RTP,9.070707862
2020-03-05,Ecobici,5.569662419
2020-03-05,Mexibús,-0.1496524031
2020-03-05,Mexicable,0.8315281951
2020-03-05,Tren suburbano,-0.02456905092
2020-03-06,Metro,4.610953559
2020-03-06,Metrobús,6.078235382
2020-03-06,Tren ligero,1.034291407
2020-03-06,Trolebús,4.879821818
2020-03-06,RTP,8.659874451
2020-03-06,Ecobici,2.424957921
2020-03-06,Mexibús,0.2803669322
2020-03-06,Mexicable,-0.8331961139
2020-03-06,Tren suburbano,-0.05540642765
2020-03-07,Metro,0.4681620041
2020-03-07,Metrobús,-0.167964361
2020-03-07,Tren ligero,-3.266865713
2020-03-07,Trolebús,-3.915827197
2020-03-07,RTP,-16.92337896
2020-03-07,Ecobici,-4.081482512
2020-03-07,Mexibús,2.476229671
2020-03-07,Mexicable,0.5537704246
