fecha,diferencia
2020-03-02,0.4
2020-03-03,0.4
2020-03-04,0.4
2020-03-05,-2.0
2020-03-06,0.4
2020-03-07,-7.0
2020-03-08,-19.0
2020-03-09,-58.0
2020-03-10,0.4
2020-03-11,0.4
2020-03-12,0.0
2020-03-13,-4.0
2020-03-14,-10.0
2020-03-15,-31.0
2020-03-16,-81.0
2020-03-17,-31.0
2020-03-18,-47.0
2020-03-19,-46.0
2020-03-20,-46.0
2020-03-21,-48.0
2020-03-22,-62.0
2020-03-23,-56.0
2020-03-24,-63.0
2020-03-25,-63.0
2020-03-26,-69.0
2020-03-27,-68.0
2020-03-28,-66.0
2020-03-29,-65.0
2020-03-30,-67.0
2020-03-31,-71.0
2020-04-01,-73.0
2020-04-02,-74.0
2020-04-03,-71.0
2020-04-04,-72.0
2020-04-05,-84.0
2020-04-06,-77.0
2020-04-07,-78.0
2020-04-08,-76.0
2020-04-09,-83.0
2020-04-10,-89.0
2020-04-11,-86.0
2020-04-12,-87.0
2020-04-13,-77.0
2020-04-14,-78.0
2020-04-15,-76.0
2020-04-16,-78.0
2020-04-17,-75.0
2020-04-18,-76.0
2020-04-19,-87.0
2020-04-20,-74.0
2020-04-21,-76.0
2020-04-22,-76.0
2020-04-23,-81.0
2020-04-24,-80.0
2020-04-25,-79.0
2020-04-26,-87.0
2020-04-27,-79.0
2020-04-28,-80.0
2020-04-29,-78.0
2020-04-30,-76.0
2020-05-01,-93.0
2020-05-02,-79.0
2020-05-03,-87.0
2020-05-04,-79.0
2020-05-05,-80.0
2020-05-06,-80.0
2020-05-07,-81.0
2020-05-08,-82.0
2020-05-09,-76.0
2020-05-10,-87.0
2020-05-11,-81.0
2020-05-12,-82.0
2020-05-13,-80.0
2020-05-14,-81.0
2020-05-15,-79.0
2020-05-16,-76.0
2020-05-17,-87.0
2020-05-18,-77.0
2020-05-19,-86.0
2020-05-20,-88.0
2020-05-21,-89.0
2020-05-22,-87.0
2020-05-23,-86.0
2020-05-24,-94.0
2020-05-25,-86.0
2020-05-26,-88.0
2020-05-27,-88.0
2020-05-28,-85.0
2020-05-29,-84.0
2020-05-30,-76.0
2020-05-31,-87.0
2020-06-01,-81.0
2020-06-02,-82.0
2020-06-03,-82.0
2020-06-04,-83.0
2020-06-05,-80.0
2020-06-06,-79.0
2020-06-07,-87.0
2020-06-08,-72.0
2020-06-09,-76.0
2020-06-10,-80.0
2020-06-11,-79.0
2020-06-12,-77.0
2020-06-13,-72.0
2020-06-14,-81.0
2020-06-15,-65.0
2020-06-16,-75.0
2020-06-17,-73.0
2020-06-18,-74.0
2020-06-19,-71.0
2020-06-20,-69.0
2020-06-21,-81.0
2020-06-22,-60.0
2020-06-23,-73.0
2020-06-24,-73.0
2020-06-25,-72.0
2020-06-26,-70.0
2020-06-27,-69.0
2020-06-28,-81.0
2020-06-29,-63.0
2020-06-30,-65.0
2020-07-01,-63.0
2020-07-02,-65.0
2020-07-03,-61.0
2020-07-04,-59.0
2020-07-05,-62.0
2020-07-06,-58.0
2020-07-07,-67.0
2020-07-08,-63.0
2020-07-09,-61.0
2020-07-10,-61.0
2020-07-11,-59.0
2020-07-12,-62.0
2020-07-13,-58.0
2020-07-14,-59.0
2020-07-15,-59.0
2020-07-16,-61.0
2020-07-17,-57.0
2020-07-18,-55.0
2020-07-19,-69.0
2020-07-20,-58.0
2020-07-21,-63.0
2020-07-22,-61.0
